iter	Passed	Remaining
193	5278	8326
194	5307	8301
195	5338	8279
196	5363	8249
197	5387	8216
198	5418	8196
199	5448	8172
200	5477	8147
201	5502	8118
202	5530	8090
203	5561	8069
204	5582	8033
205	5604	7999
206	5627	7965
207	5651	7933
208	5676	7903
209	5705	7879
210	5729	7847
211	5750	7812
212	5774	7780
213	5797	7748
214	5819	7713
215	5844	7684
216	5874	7660
217	5899	7630
218	5923	7600
219	5944	7566
220	5967	7533
221	5990	7501
222	6013	7470
223	6035	7436
224	6055	7401
225	6083	7375
226	6105	7342
227	6128	7311
228	6152	7280
229	6173	7247
230	6196	7215
231	6220	7185
232	6243	7154
233	6266	7123
234	6291	7094
235	6317	7066
236	6338	7033
237	6360	7002
238	6388	6976
239	6408	6943
240	6431	6911
241	6458	6885
242	6482	6856
243	6510	6830
244	6537	6804
245	6562	6775
246	6588	6748
247	6617	6724
248	6642	6696
249	6670	6670
250	6699	6646
251	6724	6617
252	6749	6589
253	6774	6561
254	6799	6532
255	6824	6504
256	6851	6478
257	6882	6455
258	6906	6426
259	6935	6401
260	6957	6371
261	6984	6344
262	7009	6316
263	7050	6303
264	7075	6274
265	7100	6246
266	7130	6222
267	7155	6194
268	7179	6165
269	7202	6135
270	7234	6113
271	7260	6085
272	7282	6055
273	7306	6026
274	7328	5996
275	7353	5968
276	7383	5943
277	7408	5915
278	7431	5886
279	7462	5863
280	7488	5836
281	7509	5805
282	7537	5779
283	7564	5753
284	7590	5726
285	7613	5696
286	7636	5667
287	7656	5635
288	7683	5610
289	7708	5582
290	7730	5552
291	7758	5526
292	7782	5498
293	7803	5467
294	7830	5441
295	7851	5411
296	7876	5383
297	7899	5354
298	7923	5326
299	7944	5296
300	7967	5267
301	7998	5243
302	8021	5215
303	8047	5188
304	8074	5162
305	8097	5133
306	8122	5106
307	8146	5078
308	8174	5052
309	8209	5031
310	8231	5002
311	8252	4972
312	8286	4950
313	8310	4922
314	8338	4897
315	8366	4871
316	8388	4842
317	8412	4814
318	8435	4786
319	8457	4757
320	8475	4726
321	8504	4701
322	8528	4673
323	8551	4645
324	8575	4617
325	8596	4588
326	8619	4559
327	8637	4529
328	8665	4504
329	8685	4474
330	8710	4447
331	8735	4420
332	8758	4392
333	8777	4362
334	8801	4335
335	8828	4309
336	8849	4280
337	8873	4253
338	8896	4225
339	8920	4198
340	8944	4170
341	8970	4144
342	8991	4115
343	9012	4086
344	9041	4062
345	9064	4034
346	9085	4005
347	9113	3980
348	9135	3952
349	9163	3927
350	9193	3902
351	9219	3876
352	9245	3849
353	9279	3827
354	9307	3801
355	9330	3774
356	9359	3749
357	9381	3720
358	9409	3695
359	9432	3668
360	9454	3640
361	9481	3614
362	9506	3587
363	9528	3560
364	9554	3533
365	9578	3506
366	9600	3479
367	9625	3452
368	9651	3426
369	9674	3399
370	9703	3373
371	9726	3346
372	9752	3320
373	9781	3295
374	9803	3267
375	9826	3240
376	9852	3214
377	9883	3189
378	9913	3164
379	9943	3140
380	9967	3113
381	9992	3086
382	10019	3060
383	10044	3034
384	10069	3007
385	10097	2982
386	10123	2956
387	10147	2929
388	10175	2903
389	10202	2877
390	10233	2852
391	10260	2826
392	10285	2800
393	10315	2775
394	10336	2747
395	10360	2720
396	10389	2695
397	10415	2669
398	10439	2642
399	10470	2617
400	10496	2591
401	10521	2564
402	10549	2539
403	10575	2512
404	10601	2486
405	10633	2461
406	10657	2435
407	10690	2410
408	10713	2383
409	10740	2357
410	10766	2331
411	10799	2306
412	10824	2280
413	10853	2254
414	10880	2228
415	10905	2202
416	10936	2176
417	10963	2150
418	10993	2125
419	11014	2098
420	11039	2071
421	11070	2046
422	11094	2019
423	11130	1995
424	11160	1969
425	11187	1943
426	11209	1916
427	11238	1890
428	11271	1865
429	11306	1840
430	11329	1813
431	11370	1789
432	11399	1763
433	11436	1739
434	11461	1712
435	11487	1686
436	11518	1660
437	11542	1633
438	11566	1607
439	11594	1581
440	11620	1554
441	11646	1528
442	11676	1502
443	11702	1475
444	11726	1449
445	11752	1422
446	11779	1396
447	11809	1370
448	11839	1344
449	11866	1318
450	11895	1292
451	11922	1266
452	11950	1239
453	11979	1213
454	12008	1187
455	12037	1161
456	12066	1135
457	12088	1108
458	12112	1081
459	12143	1055
460	12168	1029
461	12189	1002
462	12214	976
463	12241	949
464	12265	923
465	12296	897
466	12321	870
467	12346	844
468	12375	818
469	12398	791
470	12425	765
471	12449	738
472	12469	711
473	12490	685
474	12517	658
475	12544	632
476	12569	606
477	12597	579
478	12622	553
479	12645	526
480	12670	500
481	12695	474
482	12719	447
483	12750	421
484	12773	395
485	12795	368
486	12823	342
487	12845	315
488	12874	289
489	12899	263
490	12924	236
491	12949	210
492	12982	184
493	13013	158
494	13044	131
495	13077	105
496	13127	79
497	13151	52
498	13186	26
499	13219	0
