iter	RMSE
351	571.1675396
352	571.1072668
353	571.0646307
354	570.9892487
355	570.962239
356	570.9021403
357	570.858332
358	570.8186778
359	570.7909695
360	570.7582896
361	570.7343023
362	570.6516449
363	570.6001766
364	570.5572297
365	570.5222697
366	570.4694347
367	570.4191035
368	570.377724
369	570.337242
370	570.2717935
371	570.2412335
372	570.2044001
373	570.157199
374	570.1280644
375	570.0646269
376	570.0295354
377	569.9765452
378	569.9179411
379	569.8811278
380	569.8375891
381	569.7939873
382	569.7526565
383	569.7202791
384	569.6568431
385	569.5994594
386	569.5315885
387	569.4722378
388	569.4236075
389	569.3419321
390	569.2925791
391	569.2345436
392	569.1790452
393	569.1345604
394	569.111625
395	569.0713276
396	569.0329912
397	568.9948255
398	568.9499286
399	568.9129646
400	568.8675412
401	568.7953093
402	568.7659111
403	568.7292972
404	568.6810015
405	568.6228702
406	568.6008041
407	568.5746033
408	568.5209689
409	568.4934922
410	568.464827
411	568.4150107
412	568.3667125
413	568.3304411
414	568.2581466
415	568.2191672
416	568.1509283
417	568.0946943
418	568.049189
419	568.0145434
420	567.9518129
421	567.9089311
422	567.8625302
423	567.8227578
424	567.7714774
425	567.7266244
426	567.6844946
427	567.6470097
428	567.6108005
429	567.5451394
430	567.491506
431	567.4486068
432	567.413171
433	567.3832847
434	567.3547019
435	567.3174179
436	567.2431177
437	567.2226639
438	567.1983602
439	567.1724184
440	567.1415528
441	567.0814997
442	567.0275926
443	566.9926401
444	566.961102
445	566.9208705
446	566.8662227
447	566.7989641
448	566.7556922
449	566.6979401
450	566.6657214
451	566.5910848
452	566.5345288
453	566.4930012
454	566.461678
455	566.4327904
456	566.4061957
457	566.3913935
458	566.3497327
459	566.3015778
460	566.2569768
461	566.2376762
462	566.2039823
463	566.1460061
464	566.1116122
465	566.0565959
466	566.0184193
467	566.0083794
468	565.9676972
469	565.9239716
470	565.8721722
471	565.8314746
472	565.8015136
473	565.7721207
474	565.7131638
475	565.6708803
476	565.6417784
477	565.6046281
478	565.5396306
479	565.4856251
480	565.4181628
481	565.3347562
482	565.3060568
483	565.2469551
484	565.2203654
485	565.1893345
486	565.1109427
487	565.0820692
488	565.0519082
489	565.0240609
490	564.9826482
491	564.9734078
492	564.9313042
493	564.8949515
494	564.8684792
495	564.8367404
496	564.7631495
497	564.7457006
498	564.6978213
499	564.6472177
