iter	Passed	Remaining
403	9687	4700
404	9707	4674
405	9731	4649
406	9752	4624
407	9770	4598
408	9791	4572
409	9812	4547
410	9838	4524
411	9856	4497
412	9874	4470
413	9897	4446
414	9918	4421
415	9936	4394
416	9954	4368
417	9974	4342
418	9991	4316
419	10013	4291
420	10031	4265
421	10051	4239
422	10072	4214
423	10093	4189
424	10112	4164
425	10135	4139
426	10152	4113
427	10172	4087
428	10189	4061
429	10211	4037
430	10230	4011
431	10248	3985
432	10266	3959
433	10288	3935
434	10304	3908
435	10324	3883
436	10342	3857
437	10364	3833
438	10384	3808
439	10402	3782
440	10418	3756
441	10440	3732
442	10458	3706
443	10476	3680
444	10494	3655
445	10515	3630
446	10536	3606
447	10555	3581
448	10573	3555
449	10595	3531
450	10613	3506
451	10632	3481
452	10656	3458
453	10675	3433
454	10693	3407
455	10710	3382
456	10734	3358
457	10752	3333
458	10769	3308
459	10786	3282
460	10805	3257
461	10825	3233
462	10844	3208
463	10863	3184
464	10885	3160
465	10902	3135
466	10920	3110
467	10939	3085
468	10959	3061
469	10980	3037
470	10997	3012
471	11012	2986
472	11033	2962
473	11049	2937
474	11070	2913
475	11086	2888
476	11107	2864
477	11123	2839
478	11140	2814
479	11156	2789
480	11177	2765
481	11198	2741
482	11220	2718
483	11247	2695
484	11274	2673
485	11298	2650
486	11320	2626
487	11352	2605
488	11378	2582
489	11402	2559
490	11427	2536
491	11455	2514
492	11482	2492
493	11510	2469
494	11534	2446
495	11562	2424
496	11585	2401
497	11607	2377
498	11626	2353
499	11653	2330
500	11674	2306
501	11700	2284
502	11733	2262
503	11760	2240
504	11792	2218
505	11822	2196
506	11852	2174
507	11885	2152
508	11913	2130
509	11950	2108
510	11987	2087
511	12023	2066
512	12047	2043
513	12071	2019
514	12102	1997
515	12124	1973
516	12146	1949
517	12164	1925
518	12183	1901
519	12206	1877
520	12228	1854
521	12255	1831
522	12275	1807
523	12298	1783
524	12324	1760
525	12345	1736
526	12365	1712
527	12383	1688
528	12409	1665
529	12432	1642
530	12452	1618
531	12476	1594
532	12495	1570
533	12512	1546
534	12532	1522
535	12558	1499
536	12576	1475
537	12594	1451
538	12613	1427
539	12636	1404
540	12655	1380
541	12675	1356
542	12699	1333
543	12716	1309
544	12735	1285
545	12759	1261
546	12788	1239
547	12810	1215
548	12834	1192
549	12867	1169
550	12902	1147
551	12937	1125
552	12964	1101
553	12988	1078
554	13012	1055
555	13032	1031
556	13049	1007
557	13068	983
558	13089	960
559	13110	936
560	13129	912
561	13155	889
562	13177	866
563	13199	842
564	13217	818
565	13242	795
566	13260	771
567	13278	748
568	13297	724
569	13319	701
570	13338	677
571	13358	653
572	13380	630
573	13399	606
574	13419	583
